Unique ID,Macaddress,zone_to_use
suH12V,D3:15:5E:63:07,L1_SLL_corridor
suGK0Z,CB:F7:28:AF:BA,L1_Entrance_1
suuG7M,DD:68:34:4B:C8,L1_SLL
sutA3Z,C4:5C:4B:0B:1B,L1_RR_walkway
su9R8x,D0:AB:29:0A:CC,L1_CLL
su2hnK,D1:F9:8C:95:C3,L1_Shop_walkway_2
suBuQI,CE:73:E6:9C:CF,L1_Shop_walkway_3
suiGsz,D1:50:E0:2C:19,L1_ELL
suHsN1,C7:0B:34:B2:3E,L1_Entrance_8
susA1h,ED:72:02:AF:50,L1_Entrance_7
suPosh,DD:A8:EE:9F:23,L1_Entrance_1_lobby
Vu0H6p,F1:B3:C4:03:63,L1_CP_zone_2
Vukmrv,CA:3D:EB:97:A8,L1_CP_zone_3
VuEx1j,C5:D2:E9:A9:AC,L1_CP_zone_2
VuaVsn,ED:76:03:2D:AD,L1_CP_zone_3
suSQEt,EC:45:34:A0:33,L1_CP_zone_1
suRLGc,D6:B6:39:2C:EC,L1_R1_LL_walkway
su5GUW,D4:9D:D8:0A:50,L1_Entrance_2
sunYlY,C4:5C:7F:A4:C1,Yassin_walkway
suTpSB,E5:BC:BF:D8:07,L1_Entrance_3
VuEgLr,D2:96:51:BA:6F,L1_Fish_pond
suniIG,DA:30:9B:E5:7F,L1_R2_LL
suXXRJ,C0:C4:91:32:F1,L1_Entrance_4
suRuPN,FE:4F:A8:B9:F6,L1_Entrance_5
subNpF,E3:EB:5C:98:FE,L1_Entrance_6
sunl0a,D1:76:80:C7:EE,L1_PG
suoM7s,E1:F1:5E:56:CB,L1_Thoroughfare
suvivK,DB:BF:3B:30:C8,L2_SLL_corridor
suiFJm,D7:74:9D:AF:39,L2_SLL
suu0cq,E3:0A:01:49:E5,L2_FC_zone_5
suqV7o,ED:A3:94:2E:96,L2_CLL
sukFyS,FD:B1:93:37:F1,L2_CLL
suEURS,D3:81:82:B1:B6,L2_FC_zone_7
sur23S,C9:AE:E0:EC:91,L2_ELL_1
sukclO,FB:68:48:34:E6,L2_ELL_2
susY9k,D2:71:9B:1A:06,L2_FC_zone_4
suJWxc,FB:03:4B:EF:5C,L2_FC_zone_3
subzfF,D9:A8:45:F7:44,L2_FC_zone_2
sui0X6,EF:C9:AA:E8:D1,L2_FC_zone_1
suWpRn,EA:C0:30:75:A7,L2_FC_zone_8
suOiqx,FD:13:B0:FE:61,L2_FC_zone_9
suCMrZ,FC:52:BE:90:23,L2_FC_zone_9
sudh2a,CF:3D:F9:8F:21,L2_FC_zone_11
suYEOk,C1:82:77:30:8A,L4_R1_LL
suu9Hz,E3:D1:09:3E:29,L4_R1_garden
suRYqx,DD:1B:82:D5:76,L4_ST_walkway
suvWtf,CB:71:01:77:1C,L4_ST_1
suhmM2,F4:AA:59:F7:5E,L4_ST_2
sukvSc,CA:96:64:FA:11,L4_R2_LL
suTd1m,F8:50:8C:D7:83,L4_R2_deck
suX8AF,DA:C3:80:73:49,L5_R1_LL
suardk,E3:BC:D1:A5:8A,L5_R2_LL
suKeHy,E0:1F:FD:E9:DC,L6_SLL
suJP0P,E7:11:F3:12:76,L6_CLL
suq5VL,C3:99:2E:D8:23,L6_ELL
su5nir,FC:95:97:AC:B9,L6_ST_1
su5voq,DA:ED:E8:44:B4,L6_PG
sumXEv,DA:D7:B3:D5:D9,L6_PG
suW9IH,F4:B3:F9:BC:14,L6_Deck_1
suD9PU,F8:CC:DB:F0:AE,L6_CLL
su6aoW,CA:7D:7C:A4:BB,L6_ST_5
suvRaH,D0:80:D3:3D:C1,L6_FC
sujDPK,F4:CF:DE:6C:87,L6_FC_walkway
su49XV,CE:D1:E0:7E:85,L6_Deck_4
sueEKD,DC:FA:F6:7D:6F,L6_R1_LL
sucVLq,F1:11:09:AC:6F,L6_Deck_2
suQ3fZ,D4:59:72:5F:FC,L6_Link_bridge
subOP7,CC:8A:62:E0:A0,L6_Deck_3
suIPTx,F7:6D:36:43:18,L6_R2_LL
VuM2vW,E6:31:E0:BD:0E,L6_CCC_walkway
suHGRM,DC:B0:41:3E:63,L6_ST_1
VuyQ9M,E0:E7:FB:66:31,L6_AAH_walkway
suXvWF,C4:EB:8E:28:B9,L6_FC
suhJ38,F8:49:B7:8C:D0,L7_SLL
su1fTQ,EA:B6:94:26:F2,L7_AAH_walkway
suF1Df,F8:C6:69:11:0C,L7_CLL
susJnU,DE:EF:06:92:0C,L7_ELL
sufuG5,EA:09:46:77:A4,L7_CCC_walkway
suFxhy,E8:1E:03:14:96,L7_R1_LL
su0XaL,C9:F6:46:5F:7C,L7_R2_LL
suFBfT,E8:64:AD:8D:D6,L8_SLL
suaWyv,CD:B4:3B:09:06,L8_CLL
su9Hog,D6:EC:79:AA:BE,L8_ELL
suzRZm,DA:03:3B:B7:C7,L8_CG_steps_entrance
suHuRP,F4:65:79:BC:5F,L8_R1_LL
suTNYT,F8:CD:AE:9E:8F,L8_R2_LL
VuVWvo,F4:B9:B4:8A:75,L8_RG_zone_1
VuAJhM,D8:FB:04:51:AC,L8_RG_zone_2
suqhle,E1:18:16:88:7D,L9_SLL
sugwWn,FD:DA:79:DF:F7,L9_CG_sitting_area
suZaHl,C5:4E:E6:71:39,L9_CG_garden_zone_1
su9hc9,ED:DB:94:34:98,L9_CG_entrance
suymBh,FF:0B:F7:2B:A4,L9_CG_garden_zone_2
suMU5d,F5:55:A3:C2:B0,L9_CG_garden_zone_3
suMLzy,EC:41:39:84:32,L9_R1_LL
suzNjO,D0:6E:E0:F0:C6,L9_R2_LL
VuLiFl,C3:FE:EE:40:7A,L9_CG_steps_zone_2
subTzK,F0:60:42:3F:54,L10_R1_LL
sutDc6,C7:66:D5:72:34,L10_R2_LL
suJxZ6,D2:22:DB:AF:A0,L11_R1_LL
sueDHB,C6:9B:6F:66:10,L11_R2_LL
suuYQB,E6:2B:7C:BB:B2,B1_SLL
suk6BQ,FA:6C:2F:16:8C,B1_CLL
suMbEK,D9:F6:2D:65:48,B1_Supermarket_entrance_1
suA8NJ,D2:EB:4B:84:9A,B1_Posb_bank
suqJn1,E7:0A:97:93:0B,B1_Supermarket_entrance_2
sujYyw,D5:F6:B7:82:98,B1_Carpark_zone_1
suDQbX,D3:30:F4:8B:28,B1_R1_LL
su6bJO,CC:5E:20:6C:20,B1_Carpark_zone_3
su77Gw,C1:C5:E0:0B:4C,B1_R2_LL
suL7A7,D8:76:0D:F6:FB,B1_Carpark_zone_3
su7iQB,CD:AE:D9:63:38,B1_Carpark_zone_3
suXoWc,FF:E6:4F:0C:CE,B2_Carpark_zone_1
su3QIr,C2:EA:68:D8:BF,B2_SLL
sujEGq,E1:88:72:8F:C5,B2_CLL
sutjMy,E3:86:FB:74:DB,B2_Carpark_zone_3
supCNe,D2:07:92:C6:E8,B2_Carpark_zone_6
suFTYA,CD:56:F4:50:F9,B2_Carpark_zone_4
