ind,user_id,date,yes_no,start_etime,end_etime,start_stime,end_stime,source,target,trip_time_sec,path
0,020A4BB7-2A70-4605-A8DC-E60B7F4A84DC,02/11/2021,yes,1613021022469,1613021073134,2021-02-11 00:23:42,2021-02-11 00:24:33,L1_CP_zone_2,L1_Entrance_1_lobby,50,"['L1_CP_zone_2', 'L1_Yassin_walkway', 'L1_Entrance_1_lobby']"
1,020A4BB7-2A70-4605-A8DC-E60B7F4A84DC,02/11/2021,yes,1613043599097,1613043630161,2021-02-11 06:39:59,2021-02-11 06:40:30,L1_Shop_walkway_2,L1_Entrance_8,31,"['L1_Shop_walkway_2', 'L1_Shop_walkway_3', 'L1_ELL', 'L1_Entrance_8']"
2,020A4BB7-2A70-4605-A8DC-E60B7F4A84DC,02/10/2021,yes,1612950781779,1612950817736,2021-02-10 04:53:01,2021-02-10 04:53:37,L1_Entrance_1,L1_RR_walkway,35,"['L1_Entrance_1', 'L1_SLL_corridor', 'L1_RR_walkway']"
3,020A4BB7-2A70-4605-A8DC-E60B7F4A84DC,02/10/2021,yes,1612953764808,1612953783128,2021-02-10 05:42:44,2021-02-10 05:43:03,L1_Shop_walkway_3,L1_Entrance_8,18,"['L1_Shop_walkway_3', 'L1_ELL', 'L1_Entrance_8']"
4,09199E48-91CD-4347-8BBD-E16B1A273BEE,02/09/2021,yes,1612867992374,1612869467130,2021-02-09 05:53:12,2021-02-09 06:17:47,L2_FC_zone_11,L1_Entrance_1,1474,"['L2_FC_zone_11', 'L2_FC_zone_9_walkway', 'L2_FC_zone_8_walkway', 'L2_FC_zone_8', 'L2_FC_zone_8_walkway', 'L2_CLL', 'L1_CLL', 'B1_CLL', 'B1_Posb_bank', 'B1_Supermarket_entrance_1', 'L1_Shop_walkway_3', 'L1_Shop_walkway_2', 'L1_Shop_walkway_1', 'L1_CP_zone_2', 'L1_CP_zone_1', 'L1_Entrance_6', 'L1_Thoroughfare', 'L1_PG', 'L1_Entrance_5', 'L1_Entrance_6', 'L1_R2_LL', 'B1_R2_LL', 'B2_R2_LL', 'B2_Carpark_zone_5', 'B2_Carpark_zone_6', 'B2_Carpark_zone_5', 'B2_Carpark_zone_3', 'B2_R1_LL', 'B1_R1_LL', 'L1_R1_LL', 'L1_R1_LL_walkway', 'L1_Entrance_1_lobby', 'L1_Entrance_1', 'L1_SLL_corridor', 'L1_SLL', 'B1_SLL', 'B2_SLL', 'B2_Carpark_zone_1', 'B2_SLL', 'B1_SLL', 'B1_Carpark_zone_1', 'B1_SLL', 'L1_SLL', 'L1_SLL_corridor', 'L1_Entrance_1']"
5,124c322635f507a3,02/19/2021,yes,1613711491252,1613712293075,2021-02-19 00:11:31,2021-02-19 00:24:53,L1_CP_zone_2,L1_Entrance_1,801,"['L1_CP_zone_2', 'L1_CP_zone_3', 'L1_CP_zone_2', 'L1_Yassin_walkway', 'L2_FC_zone_1', 'L2_FC_zone_8', 'L2_FC_zone_8_walkway', 'L2_FC_zone_7', 'L2_FC_zone_11', 'L2_FC_zone_9_walkway', 'L2_FC_zone_8_walkway', 'L2_FC_zone_8', 'L2_FC_zone_1', 'L1_Yassin_walkway', 'L1_Entrance_1_lobby', 'L1_R1_LL_walkway', 'L1_Entrance_2', 'L1_Entrance_3', 'L1_Entrance_2', 'L1_R1_LL_walkway', 'L1_Entrance_1_lobby', 'L1_Entrance_1']"
6,124d07cb1f75a428,02/19/2021,yes,1613716083579,1613718574033,2021-02-19 01:28:03,2021-02-19 02:09:34,L2_CLL,L1_Entrance_5,2490,"['L2_CLL', 'L2_FC_zone_8_walkway', 'L2_FC_zone_4', 'L2_FC_zone_5', 'L2_FC_zone_4', 'L2_FC_zone_1', 'L2_FC_zone_8', 'L2_FC_zone_1', 'L1_Yassin_walkway', 'L1_CP_zone_2', 'L1_Yassin_walkway', 'L1_Entrance_1_lobby', 'L1_Yassin_walkway', 'L1_CP_zone_2', 'L1_CP_zone_3', 'L1_CP_zone_4', 'L1_R2_LL', 'L1_Entrance_6', 'L1_Entrance_5', 'L1_Entrance_4', 'L1_Entrance_5', 'L1_Entrance_6', 'L1_Thoroughfare', 'L1_PG', 'L1_Entrance_5']"
7,124d07cb1f75a428,02/19/2021,yes,1613724921746,1613728679562,2021-02-19 03:55:21,2021-02-19 04:57:59,L1_Thoroughfare,L2_CLL,3757,"['L1_Thoroughfare', 'L1_Entrance_6', 'L1_CP_zone_1', 'L1_CP_zone_2', 'L1_Shop_walkway_1', 'L1_CLL', 'L1_Shop_walkway_2', 'L1_CLL', 'L2_CLL', 'L2_FC_zone_8_walkway', 'L2_FC_zone_4', 'L2_FC_zone_5', 'L2_FC_zone_4', 'L2_FC_zone_8_walkway', 'L2_CLL']"
8,124d07cb1f75a428,02/02/2021,yes,1612224368612,1612226064123,2021-02-01 19:06:08,2021-02-01 19:34:24,L2_FC_zone_8,L2_FC_zone_4,1695,"['L2_FC_zone_8', 'L2_FC_zone_9', 'L2_FC_zone_8', 'L2_FC_zone_1', 'L2_FC_zone_2', 'L2_FC_zone_1', 'L2_FC_zone_4', 'L2_FC_zone_5', 'L2_FC_zone_4']"
9,124d07cb1f75a428,02/02/2021,yes,1612228085833,1612231726083,2021-02-01 20:08:05,2021-02-01 21:08:46,L2_CLL,L1_Entrance_4,3640,"['L2_CLL', 'L2_FC_zone_8_walkway', 'L2_FC_zone_4', 'L2_FC_zone_5', 'L2_FC_zone_4', 'L2_FC_zone_1', 'L1_Yassin_walkway', 'L1_CP_zone_2', 'L1_Yassin_walkway', 'L1_Entrance_1_lobby', 'L1_Yassin_walkway', 'L1_CP_zone_2', 'L1_CP_zone_3', 'L1_Entrance_4']"
10,124d07cb1f75a428,02/02/2021,yes,1612233559942,1612241297171,2021-02-01 21:39:19,2021-02-01 23:48:17,L6_Deck_3,L2_FC_zone_8,7737,"['L6_Deck_3', 'L6_Link_bridge', 'L6_Deck_2', 'L6_R1_LL_corridor', 'L6_Deck_1', 'L6_PG_walkway', 'L6_ST_1', 'L6_PG', 'L6_ST_2', 'L6_CCC_walkway', 'L6_SLL_corridor', 'L6_SLL', 'L2_SLL', 'L2_SLL_corridor', 'L2_FC_zone_5_walkway', 'L2_FC_zone_5', 'L2_FC_zone_4', 'L2_FC_zone_8_walkway', 'L2_FC_zone_9_walkway', 'L2_FC_zone_9', 'L2_FC_zone_8']"
11,124d07cb1f75a428,02/02/2021,yes,1612243304908,1612244279873,2021-02-02 00:21:44,2021-02-02 00:37:59,L2_FC_zone_9,L1_PG,974,"['L2_FC_zone_9', 'L2_FC_zone_9_walkway', 'L2_FC_zone_7', 'L2_FC_zone_8_walkway', 'L2_FC_zone_8', 'L2_FC_zone_1', 'L1_Yassin_walkway', 'L1_CP_zone_2', 'L1_Yassin_walkway', 'L1_Entrance_1_lobby', 'L1_Yassin_walkway', 'L1_CP_zone_2', 'L1_CP_zone_3', 'L1_CP_zone_4', 'L1_R2_LL', 'L1_Entrance_6', 'L1_Entrance_5', 'L1_Entrance_4', 'L1_Entrance_5', 'L1_Entrance_6', 'L1_Thoroughfare', 'L1_PG']"
12,124d07cb1f75a428,02/01/2021,yes,1612152605837,1612153672156,2021-01-31 23:10:05,2021-01-31 23:27:52,L2_FC_zone_8,L2_FC_zone_4,1066,"['L2_FC_zone_8', 'L2_FC_zone_1', 'L2_FC_zone_4']"
13,124d07cb1f75a428,02/01/2021,yes,1612155184403,1612157071243,2021-01-31 23:53:04,2021-02-01 00:24:31,L2_FC_zone_5,L2_CLL,1886,"['L2_FC_zone_5', 'L2_FC_zone_4', 'L2_FC_zone_8_walkway', 'L2_FC_zone_7', 'L2_FC_zone_8_walkway', 'L2_CLL']"
14,1fb4acb5bc049a9e,02/20/2021,yes,1613820594567,1613820680304,2021-02-20 06:29:54,2021-02-20 06:31:20,L4_R2_LL,L1_CP_zone_3,85,"['L4_R2_LL', 'L1_R2_LL', 'L1_CP_zone_4', 'L1_CP_zone_3']"
15,206c057725340299,02/15/2021,yes,1613364017255,1613364697099,2021-02-14 23:40:17,2021-02-14 23:51:37,L1_CP_zone_1,L2_FC_zone_9,679,"['L1_CP_zone_1', 'L1_CP_zone_2', 'L1_Shop_walkway_1', 'L1_CLL', 'L2_CLL', 'L2_FC_zone_8_walkway', 'L2_FC_zone_8', 'L2_FC_zone_9']"
16,206d8f5aec88a063,02/24/2021,yes,1614115171728,1614115368309,2021-02-23 16:19:31,2021-02-23 16:22:48,L8_R2_LL,L1_PG,196,"['L8_R2_LL', 'L7_R2_LL', 'L6_R2_LL', 'L5_R2_LL', 'L4_R2_LL', 'L1_R2_LL', 'L1_Entrance_6', 'L1_Thoroughfare', 'L1_Entrance_6', 'L1_Entrance_5', 'L1_PG']"
17,206d8f5aec88a063,02/24/2021,yes,1614117471655,1614118138503,2021-02-23 16:57:51,2021-02-23 17:08:58,L2_SLL_corridor,L1_PG,666,"['L2_SLL_corridor', 'L2_SLL', 'L1_SLL', 'L1_SLL_corridor', 'L1_Entrance_1', 'L1_Entrance_1_lobby', 'L1_Yassin_walkway', 'L1_CP_zone_2', 'L1_CP_zone_3', 'L1_CP_zone_1', 'L1_Entrance_6', 'L1_Thoroughfare', 'L1_Entrance_6', 'L1_Entrance_5', 'L1_PG']"
