ind,user_id,date,yes_no,start_etime,end_etime,start_stime,end_stime,source,target,trip_time_sec,path,day
19,1fb4acb5bc049a9e,02/20/2021,yes,1613820594567,1613820680304,2021-02-20 19:29:54,2021-02-20 19:31:20,L4_R2_LL,L1_CP_zone_3,85,"['L4_R2_LL', 'L1_R2_LL', 'L1_CP_zone_4', 'L1_CP_zone_3']",weekend
48,385c6e68cee4fce3,02/20/2021,yes,1613814438734,1613816005481,2021-02-20 17:47:18,2021-02-20 18:13:25,L9_R2_LL,L6_Deck_4,1566,"['L9_R2_LL', 'L8_R2_LL', 'L7_R2_LL', 'L6_R2_LL', 'L6_R2_LL_corridor', 'L6_Deck_4']",weekend
64,4b5613d41da55b0a,02/27/2021,yes,1614379565389,1614379877352,2021-02-27 06:46:05,2021-02-27 06:51:17,L1_Shop_walkway_2,L1_CP_zone_1,311,"['L1_Shop_walkway_2', 'L1_Shop_walkway_3', 'B1_Supermarket_entrance_1', 'L1_Shop_walkway_3', 'L1_Entrance_mrt', 'L1_Entrance_7', 'L1_CP_zone_1']",weekend
159,98db4319023b2752,02/21/2021,yes,1613884187858,1613884236647,2021-02-21 13:09:47,2021-02-21 13:10:36,L1_Entrance_5,L1_Entrance_7,48,"['L1_Entrance_5', 'L1_Entrance_6', 'L1_Thoroughfare', 'L1_Entrance_6', 'L1_CP_zone_1', 'L1_Entrance_7']",weekend
170,B3B17C7E-C067-4B6E-9220-48AC4765E421,02/20/2021,yes,1613779628713,1613779902449,2021-02-20 08:07:08,2021-02-20 08:11:42,L2_FC_zone_9,L2_FC_zone_4,273,"['L2_FC_zone_9', 'L2_FC_zone_9_walkway', 'L2_FC_zone_11', 'L2_FC_zone_7', 'L2_FC_zone_8_walkway', 'L2_FC_zone_4', 'L2_FC_zone_5', 'L2_FC_zone_4', 'L2_FC_zone_3', 'L2_FC_zone_2', 'L2_FC_zone_1', 'L2_FC_zone_4', 'L2_SLL_corridor', 'L2_FC_zone_4', 'L2_FC_zone_1', 'L2_FC_zone_8', 'L2_FC_zone_1', 'L2_FC_zone_4']",weekend
171,B3B17C7E-C067-4B6E-9220-48AC4765E421,02/20/2021,yes,1613783599159,1613785107815,2021-02-20 09:13:19,2021-02-20 09:38:27,L2_FC_zone_3,L6_Deck_2,1508,"['L2_FC_zone_3', 'L2_FC_zone_4', 'L2_SLL_corridor', 'L2_SLL', 'L1_SLL', 'L1_SLL_corridor', 'L1_RR_walkway', 'L1_SLL_corridor', 'L1_SLL', 'L2_SLL', 'L6_SLL', 'L6_SLL_corridor', 'L6_CCC_walkway', 'L6_ST_1', 'L6_PG_walkway', 'L6_Deck_1', 'L6_R1_LL_corridor', 'L6_Deck_2']",weekend
172,B3B17C7E-C067-4B6E-9220-48AC4765E421,02/20/2021,yes,1613792615330,1613793284415,2021-02-20 11:43:35,2021-02-20 11:54:44,L6_Deck_1,L2_FC_zone_8,669,"['L6_Deck_1', 'L6_PG_walkway', 'L6_PG', 'L6_ST_1', 'L6_CCC_walkway', 'L6_SLL_corridor', 'L6_SLL', 'L2_SLL', 'L2_SLL_corridor', 'L2_FC_zone_4', 'L2_FC_zone_5', 'L2_FC_zone_4', 'L2_FC_zone_8_walkway', 'L2_CLL', 'L2_FC_zone_8_walkway', 'L2_FC_zone_7', 'L2_FC_zone_8_walkway', 'L2_FC_zone_8', 'L2_FC_zone_1', 'L2_FC_zone_8']",weekend
173,B3B17C7E-C067-4B6E-9220-48AC4765E421,02/20/2021,yes,1613796551365,1613797617358,2021-02-20 12:49:11,2021-02-20 13:06:57,L2_FC_zone_5,L1_Entrance_8,1065,"['L2_FC_zone_5', 'L2_FC_zone_4', 'L2_FC_zone_1', 'L2_FC_zone_8', 'L2_FC_zone_1', 'L2_FC_zone_4', 'L2_SLL_corridor', 'L2_SLL', 'L1_SLL', 'L1_SLL_corridor', 'L1_SLL', 'B1_SLL', 'B2_SLL', 'B2_Carpark_zone_1', 'B2_Carpark_zone_4', 'B2_ELL_2', 'B1_ELL', 'L1_ELL', 'L1_Entrance_8']",weekend
198,b443471405f0ca2e,02/28/2021,yes,1614475763598,1614475834180,2021-02-28 09:29:23,2021-02-28 09:30:34,L6_CLL,B1_Posb_bank,70,"['L6_CLL', 'L4_CLL', 'L3_CLL', 'L2_CLL', 'L1_CLL', 'L1_Shop_walkway_2', 'L1_Shop_walkway_3', 'B1_Supermarket_entrance_1', 'B1_Posb_bank']",weekend
200,b443471405f0ca2e,01/30/2021,yes,1611967848417,1611968359970,2021-01-30 08:50:48,2021-01-30 08:59:19,L4_ST_walkway,L1_ELL,511,"['L4_ST_walkway', 'L4_R1_deck', 'L4_R1_garden', 'L4_R1_deck', 'L4_R1_LL_corridor', 'L4_R1_LL', 'L1_R1_LL', 'L1_R1_LL_walkway', 'L1_Entrance_1_lobby', 'L1_Yassin_walkway', 'L1_CP_zone_2', 'L1_CP_zone_3', 'L1_CP_zone_2', 'L1_Yassin_walkway', 'L2_FC_zone_1', 'L2_FC_zone_4', 'L2_FC_zone_5', 'L2_FC_zone_4', 'L2_FC_zone_1', 'L2_FC_zone_8', 'L2_FC_zone_1', 'L1_Yassin_walkway', 'L1_Entrance_1_lobby', 'L1_Yassin_walkway', 'L1_CP_zone_2', 'L1_Shop_walkway_1', 'L1_Shop_walkway_2', 'L1_Shop_walkway_3', 'B1_Supermarket_entrance_1', 'B1_Posb_bank', 'B1_Supermarket_entrance_1', 'L1_Shop_walkway_3', 'L1_ELL']",weekend
